TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
59,5000,,4,LOC,FOIL,stimuli/fractals/53a.jpg,375.0,-225.0,121.0,LLP,stimuli/fractals/53a.jpg,-75.0,225.0,stimuli/fractals/53a.jpg,stimuli/fractals/53c.jpg,stimuli/fractals/53b.jpg,-75.0,225.0,-75.0,75.0,75.0,225.0,375.0,-225.0
60,3000,,4,LOC,LURE,stimuli/fractals/108a.jpg,75.0,-75.0,76.0,OLP,stimuli/fractals/108a.jpg,-75.0,-75.0,stimuli/fractals/108a.jpg,stimuli/fractals/108c.jpg,stimuli/fractals/108b.jpg,-75.0,-75.0,-75.0,75.0,75.0,-75.0,375.0,225.0
61,1000,,4,LOC,TARGET,stimuli/fractals/52a.jpg,-75.0,75.0,130.0,LLP,stimuli/fractals/52a.jpg,-75.0,75.0,stimuli/fractals/52a.jpg,stimuli/fractals/52c.jpg,stimuli/fractals/52b.jpg,-75.0,75.0,75.0,75.0,-75.0,-75.0,375.0,-225.0
62,1000,,4,LOC,TARGET,stimuli/fractals/10b.jpg,-225.0,75.0,78.0,OLP,stimuli/fractals/10b.jpg,-225.0,75.0,stimuli/fractals/10b.jpg,stimuli/fractals/10c.jpg,stimuli/fractals/10a.jpg,-225.0,75.0,-225.0,225.0,-225.0,-75.0,375.0,-75.0
63,1000,,4,LOC,FOIL,stimuli/fractals/19a.jpg,375.0,-225.0,131.0,LLP,stimuli/fractals/19a.jpg,-375.0,75.0,stimuli/fractals/19a.jpg,stimuli/fractals/19c.jpg,stimuli/fractals/19b.jpg,-375.0,75.0,-375.0,-75.0,-375.0,225.0,375.0,-225.0
64,1000,,4,LOC,LURE,stimuli/fractals/8c.jpg,-75.0,-225.0,86.0,OLP,stimuli/fractals/8c.jpg,-225.0,-225.0,stimuli/fractals/8c.jpg,stimuli/fractals/8b.jpg,stimuli/fractals/8a.jpg,-225.0,-225.0,-225.0,-75.0,-75.0,-225.0,375.0,225.0
65,2000,,4,LOC,LURE,stimuli/fractals/44b.jpg,-375.0,75.0,88.0,OLP,stimuli/fractals/44b.jpg,-375.0,225.0,stimuli/fractals/44b.jpg,stimuli/fractals/44a.jpg,stimuli/fractals/44c.jpg,-375.0,225.0,-225.0,225.0,-375.0,75.0,75.0,-225.0
66,1000,,4,LOC,TARGET,stimuli/fractals/107c.jpg,75.0,-225.0,93.0,OLP,stimuli/fractals/107c.jpg,75.0,-225.0,stimuli/fractals/107c.jpg,stimuli/fractals/107b.jpg,stimuli/fractals/107a.jpg,75.0,-225.0,225.0,-225.0,-75.0,-225.0,375.0,225.0
67,4000,,4,LOC,LURE,stimuli/fractals/126b.jpg,-75.0,225.0,98.0,ERP,stimuli/fractals/126b.jpg,-225.0,225.0,stimuli/fractals/126b.jpg,stimuli/fractals/126c.jpg,stimuli/fractals/126a.jpg,-225.0,225.0,-375.0,225.0,-75.0,225.0,375.0,-225.0
68,2000,,4,LOC,LURE,stimuli/fractals/51b.jpg,75.0,-225.0,106.0,ERP,stimuli/fractals/51b.jpg,225.0,-225.0,stimuli/fractals/51b.jpg,stimuli/fractals/51a.jpg,stimuli/fractals/51c.jpg,225.0,-225.0,225.0,-75.0,75.0,-225.0,-375.0,75.0
69,3000,,4,LOC,LURE,stimuli/fractals/82a.jpg,-75.0,-225.0,110.0,ERP,stimuli/fractals/82a.jpg,-75.0,-75.0,stimuli/fractals/82a.jpg,stimuli/fractals/82b.jpg,stimuli/fractals/82c.jpg,-75.0,-75.0,-225.0,-75.0,-75.0,-225.0,375.0,225.0
70,500,,4,LOC,TARGET,stimuli/fractals/30c.jpg,375.0,-75.0,107.0,OLP,stimuli/fractals/30c.jpg,375.0,-75.0,stimuli/fractals/30c.jpg,stimuli/fractals/30b.jpg,stimuli/fractals/30a.jpg,375.0,-75.0,225.0,-75.0,375.0,-225.0,-375.0,225.0
71,1000,,4,LOC,TARGET,stimuli/fractals/72b.jpg,375.0,225.0,138.0,LLP,stimuli/fractals/72b.jpg,375.0,225.0,stimuli/fractals/72b.jpg,stimuli/fractals/72a.jpg,stimuli/fractals/72c.jpg,375.0,225.0,225.0,225.0,375.0,75.0,-375.0,-225.0
72,2000,,4,LOC,FOIL,stimuli/fractals/14c.jpg,-375.0,225.0,109.0,OLP,stimuli/fractals/14c.jpg,225.0,75.0,stimuli/fractals/14c.jpg,stimuli/fractals/14b.jpg,stimuli/fractals/14a.jpg,225.0,75.0,375.0,75.0,225.0,225.0,-375.0,225.0
73,1000,,5,OBJ,LURE,stimuli/fractals/131a.jpg,375.0,75.0,128.0,OLP,stimuli/fractals/131b.jpg,375.0,75.0,stimuli/fractals/131b.jpg,stimuli/fractals/131c.jpg,stimuli/fractals/131a.jpg,375.0,75.0,375.0,-75.0,375.0,225.0,-225.0,-225.0
74,2000,,5,OBJ,FOIL,stimuli/fractals/135b.jpg,-225.0,-75.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
75,500,,5,OBJ,TARGET,stimuli/fractals/143c.jpg,-375.0,-75.0,116.0,ERP,stimuli/fractals/143c.jpg,-375.0,-75.0,stimuli/fractals/143c.jpg,stimuli/fractals/143b.jpg,stimuli/fractals/143a.jpg,-375.0,-75.0,-225.0,-75.0,-375.0,75.0,375.0,-225.0
76,1000,,5,OBJ,TARGET,stimuli/fractals/67b.jpg,225.0,225.0,123.0,ERP,stimuli/fractals/67b.jpg,225.0,225.0,stimuli/fractals/67b.jpg,stimuli/fractals/67a.jpg,stimuli/fractals/67c.jpg,225.0,225.0,75.0,225.0,225.0,75.0,-375.0,-225.0
77,4000,,5,OBJ,FOIL,stimuli/fractals/64a.jpg,-75.0,225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
78,1000,,5,OBJ,FOIL,stimuli/fractals/93b.jpg,-375.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
79,2000,,5,OBJ,LURE,stimuli/fractals/101c.jpg,-225.0,-75.0,139.0,LLP,stimuli/fractals/101b.jpg,-225.0,-75.0,stimuli/fractals/101b.jpg,stimuli/fractals/101a.jpg,stimuli/fractals/101c.jpg,-225.0,-75.0,-75.0,-75.0,-225.0,-225.0,375.0,75.0
