TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
52,3000,1,2,LOC,ERP,2,0,stimuli/fractals/73a.jpg,-0.1171875,0.2083333333333333,stimuli/fractals/73a.jpg,stimuli/fractals/73b.jpg,stimuli/fractals/73c.jpg,-0.1171875,0.2083333333333333,-0.0390625,0.2083333333333333,-0.1953125,0.2083333333333333,0.1953125,-0.2083333333333333
53,500,1,2,LOC,ERP,1,1,stimuli/fractals/118c.jpg,-0.1171875,0.2083333333333333,stimuli/fractals/118c.jpg,stimuli/fractals/118a.jpg,stimuli/fractals/118b.jpg,-0.1171875,0.2083333333333333,-0.1171875,0.06944444444444445,-0.0390625,0.2083333333333333,0.1171875,-0.2083333333333333
54,1000,1,2,LOC,ERP,1,3,stimuli/fractals/34a.jpg,0.1171875,-0.06944444444444445,stimuli/fractals/34a.jpg,stimuli/fractals/34b.jpg,stimuli/fractals/34c.jpg,0.1171875,-0.06944444444444445,0.1171875,-0.2083333333333333,0.0390625,-0.06944444444444445,-0.1953125,0.06944444444444445
55,1000,1,2,LOC,ERP,2,0,stimuli/fractals/118c.jpg,-0.1171875,0.2083333333333333,stimuli/fractals/118c.jpg,stimuli/fractals/118a.jpg,stimuli/fractals/118b.jpg,-0.1171875,0.2083333333333333,-0.1171875,0.06944444444444445,-0.0390625,0.2083333333333333,0.1171875,-0.2083333333333333
56,1000,1,2,LOC,LLP,1,2,stimuli/fractals/9c.jpg,-0.1171875,0.06944444444444445,stimuli/fractals/9c.jpg,stimuli/fractals/9b.jpg,stimuli/fractals/9a.jpg,-0.1171875,0.06944444444444445,-0.1953125,0.06944444444444445,-0.1171875,0.2083333333333333,0.1953125,-0.2083333333333333
57,500,1,2,LOC,LLP,1,2,stimuli/fractals/16c.jpg,-0.1171875,0.06944444444444445,stimuli/fractals/16c.jpg,stimuli/fractals/16b.jpg,stimuli/fractals/16a.jpg,-0.1171875,0.06944444444444445,-0.0390625,0.06944444444444445,-0.1171875,0.2083333333333333,0.1953125,-0.2083333333333333
58,2000,1,2,LOC,ERP,2,0,stimuli/fractals/34a.jpg,0.1171875,-0.06944444444444445,stimuli/fractals/34a.jpg,stimuli/fractals/34b.jpg,stimuli/fractals/34c.jpg,0.1171875,-0.06944444444444445,0.1171875,-0.2083333333333333,0.0390625,-0.06944444444444445,-0.1953125,0.06944444444444445
59,500,1,2,LOC,LLP,2,0,stimuli/fractals/9c.jpg,-0.1953125,0.06944444444444445,stimuli/fractals/9c.jpg,stimuli/fractals/9b.jpg,stimuli/fractals/9a.jpg,-0.1171875,0.06944444444444445,-0.1953125,0.06944444444444445,-0.1171875,0.2083333333333333,0.1953125,-0.2083333333333333
60,6000,1,2,LOC,LLP,2,0,stimuli/fractals/16c.jpg,-0.0390625,0.06944444444444445,stimuli/fractals/16c.jpg,stimuli/fractals/16b.jpg,stimuli/fractals/16a.jpg,-0.1171875,0.06944444444444445,-0.0390625,0.06944444444444445,-0.1171875,0.2083333333333333,0.1953125,-0.2083333333333333
61,8000,1,2,LOC,LLP,1,1,stimuli/fractals/50b.jpg,0.0390625,0.2083333333333333,stimuli/fractals/50b.jpg,stimuli/fractals/50a.jpg,stimuli/fractals/50c.jpg,0.0390625,0.2083333333333333,0.1171875,0.2083333333333333,0.0390625,0.06944444444444445,0.1953125,-0.2083333333333333
62,7000,1,2,LOC,LLP,1,1,stimuli/fractals/53c.jpg,0.0390625,0.06944444444444445,stimuli/fractals/53c.jpg,stimuli/fractals/53a.jpg,stimuli/fractals/53b.jpg,0.0390625,0.06944444444444445,0.1171875,0.06944444444444445,0.0390625,0.2083333333333333,-0.1953125,-0.2083333333333333
63,1000,1,2,LOC,LLP,2,0,stimuli/fractals/50b.jpg,0.1171875,0.2083333333333333,stimuli/fractals/50b.jpg,stimuli/fractals/50a.jpg,stimuli/fractals/50c.jpg,0.0390625,0.2083333333333333,0.1171875,0.2083333333333333,0.0390625,0.06944444444444445,0.1953125,-0.2083333333333333
64,4000,1,2,LOC,LLP,2,0,stimuli/fractals/53c.jpg,0.1171875,0.06944444444444445,stimuli/fractals/53c.jpg,stimuli/fractals/53a.jpg,stimuli/fractals/53b.jpg,0.0390625,0.06944444444444445,0.1171875,0.06944444444444445,0.0390625,0.2083333333333333,-0.1953125,-0.2083333333333333
65,2000,1,3,OBJ,BL,0,0,stimuli/fractals/92a.jpg,0.1171875,0.06944444444444445,stimuli/fractals/92a.jpg,stimuli/fractals/92c.jpg,stimuli/fractals/92b.jpg,0.1171875,0.06944444444444445,0.1953125,0.06944444444444445,0.1171875,-0.06944444444444445,-0.1953125,0.2083333333333333
66,4000,1,3,OBJ,OLP,1,4,stimuli/fractals/120b.jpg,-0.1171875,-0.2083333333333333,stimuli/fractals/120b.jpg,stimuli/fractals/120c.jpg,stimuli/fractals/120a.jpg,-0.1171875,-0.2083333333333333,-0.1171875,-0.06944444444444445,-0.0390625,-0.2083333333333333,0.1171875,0.2083333333333333
67,1000,1,3,OBJ,OLP,1,4,stimuli/fractals/18a.jpg,0.1953125,-0.2083333333333333,stimuli/fractals/18a.jpg,stimuli/fractals/18c.jpg,stimuli/fractals/18b.jpg,0.1953125,-0.2083333333333333,0.1171875,-0.2083333333333333,0.1953125,-0.06944444444444445,-0.1953125,-0.2083333333333333
68,3000,1,3,OBJ,OLP,1,5,stimuli/fractals/99b.jpg,0.1171875,-0.2083333333333333,stimuli/fractals/99b.jpg,stimuli/fractals/99c.jpg,stimuli/fractals/99a.jpg,0.1171875,-0.2083333333333333,0.1171875,-0.06944444444444445,0.1953125,-0.2083333333333333,-0.1953125,0.2083333333333333
69,1000,1,3,OBJ,OLP,1,3,stimuli/fractals/72c.jpg,-0.1171875,-0.06944444444444445,stimuli/fractals/72c.jpg,stimuli/fractals/72b.jpg,stimuli/fractals/72a.jpg,-0.1171875,-0.06944444444444445,-0.0390625,-0.06944444444444445,-0.1953125,-0.06944444444444445,0.1171875,0.2083333333333333
70,1000,1,3,OBJ,OLP,1,5,stimuli/fractals/130a.jpg,-0.1953125,-0.06944444444444445,stimuli/fractals/130a.jpg,stimuli/fractals/130b.jpg,stimuli/fractals/130c.jpg,-0.1953125,-0.06944444444444445,-0.1953125,-0.2083333333333333,-0.1171875,-0.06944444444444445,0.1953125,0.2083333333333333
71,500,1,3,OBJ,OLP,2,0,stimuli/fractals/120c.jpg,-0.1171875,-0.2083333333333333,stimuli/fractals/120b.jpg,stimuli/fractals/120c.jpg,stimuli/fractals/120a.jpg,-0.1171875,-0.2083333333333333,-0.1171875,-0.06944444444444445,-0.0390625,-0.2083333333333333,0.1171875,0.2083333333333333
72,7000,1,3,OBJ,OLP,2,0,stimuli/fractals/18c.jpg,0.1953125,-0.2083333333333333,stimuli/fractals/18a.jpg,stimuli/fractals/18c.jpg,stimuli/fractals/18b.jpg,0.1953125,-0.2083333333333333,0.1171875,-0.2083333333333333,0.1953125,-0.06944444444444445,-0.1953125,-0.2083333333333333
73,4000,1,3,OBJ,OLP,2,0,stimuli/fractals/72b.jpg,-0.1171875,-0.06944444444444445,stimuli/fractals/72c.jpg,stimuli/fractals/72b.jpg,stimuli/fractals/72a.jpg,-0.1171875,-0.06944444444444445,-0.0390625,-0.06944444444444445,-0.1953125,-0.06944444444444445,0.1171875,0.2083333333333333
74,2000,1,3,OBJ,OLP,2,0,stimuli/fractals/99c.jpg,0.1171875,-0.2083333333333333,stimuli/fractals/99b.jpg,stimuli/fractals/99c.jpg,stimuli/fractals/99a.jpg,0.1171875,-0.2083333333333333,0.1171875,-0.06944444444444445,0.1953125,-0.2083333333333333,-0.1953125,0.2083333333333333
75,2000,1,3,OBJ,OLP,1,3,stimuli/fractals/119c.jpg,0.1171875,0.2083333333333333,stimuli/fractals/119c.jpg,stimuli/fractals/119a.jpg,stimuli/fractals/119b.jpg,0.1171875,0.2083333333333333,0.1171875,0.06944444444444445,0.0390625,0.2083333333333333,-0.1953125,-0.06944444444444445
76,2000,1,3,OBJ,OLP,2,0,stimuli/fractals/130b.jpg,-0.1953125,-0.06944444444444445,stimuli/fractals/130a.jpg,stimuli/fractals/130b.jpg,stimuli/fractals/130c.jpg,-0.1953125,-0.06944444444444445,-0.1953125,-0.2083333333333333,-0.1171875,-0.06944444444444445,0.1953125,0.2083333333333333
77,1000,1,3,OBJ,ERP,1,5,stimuli/fractals/117b.jpg,-0.1953125,-0.2083333333333333,stimuli/fractals/117b.jpg,stimuli/fractals/117c.jpg,stimuli/fractals/117a.jpg,-0.1953125,-0.2083333333333333,-0.1171875,-0.2083333333333333,-0.1953125,-0.06944444444444445,0.0390625,0.06944444444444445
78,7000,1,3,OBJ,ERP,1,1,stimuli/fractals/133a.jpg,-0.0390625,0.06944444444444445,stimuli/fractals/133a.jpg,stimuli/fractals/133c.jpg,stimuli/fractals/133b.jpg,-0.0390625,0.06944444444444445,-0.0390625,0.2083333333333333,0.0390625,0.06944444444444445,0.1953125,-0.2083333333333333
79,1000,1,3,OBJ,OLP,2,0,stimuli/fractals/119a.jpg,0.1171875,0.2083333333333333,stimuli/fractals/119c.jpg,stimuli/fractals/119a.jpg,stimuli/fractals/119b.jpg,0.1171875,0.2083333333333333,0.1171875,0.06944444444444445,0.0390625,0.2083333333333333,-0.1953125,-0.06944444444444445
80,1000,1,3,OBJ,ERP,2,0,stimuli/fractals/133a.jpg,-0.0390625,0.06944444444444445,stimuli/fractals/133a.jpg,stimuli/fractals/133c.jpg,stimuli/fractals/133b.jpg,-0.0390625,0.06944444444444445,-0.0390625,0.2083333333333333,0.0390625,0.06944444444444445,0.1953125,-0.2083333333333333
