TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
116,ERP,1,3,2,Stimuli/Fractals/112c.jpg,Stimuli/Fractals/112a.jpg,Stimuli/Fractals/112b.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,0,-300
117,LLP,1,1,2,Stimuli/Fractals/138c.jpg,Stimuli/Fractals/138a.jpg,Stimuli/Fractals/138b.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,-212.1320344,-212.1320344
118,LLP,1,3,2,Stimuli/Fractals/6a.jpg,Stimuli/Fractals/6b.jpg,Stimuli/Fractals/6c.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,0,-300
119,LLP,2,0,2,Stimuli/Fractals/138c.jpg,Stimuli/Fractals/138a.jpg,Stimuli/Fractals/138b.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,-212.1320344,-212.1320344
120,ERP,2,0,2,Stimuli/Fractals/112c.jpg,Stimuli/Fractals/112a.jpg,Stimuli/Fractals/112b.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,0,-300
121,LLP,1,2,2,Stimuli/Fractals/62a.jpg,Stimuli/Fractals/62b.jpg,Stimuli/Fractals/62c.jpg,0,-300,-212.1320344,-212.1320344,212.1320344,-212.1320344,212.1320344,212.1320344
122,LLP,2,0,2,Stimuli/Fractals/6a.jpg,Stimuli/Fractals/6b.jpg,Stimuli/Fractals/6c.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,0,-300
123,ERP,1,1,2,Stimuli/Fractals/101c.jpg,Stimuli/Fractals/101a.jpg,Stimuli/Fractals/101b.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,0,-300
124,LLP,2,0,2,Stimuli/Fractals/62a.jpg,Stimuli/Fractals/62b.jpg,Stimuli/Fractals/62c.jpg,0,-300,-212.1320344,-212.1320344,212.1320344,-212.1320344,212.1320344,212.1320344
125,ERP,2,0,2,Stimuli/Fractals/101c.jpg,Stimuli/Fractals/101a.jpg,Stimuli/Fractals/101b.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,0,-300
126,BL,0,0,2,Stimuli/Fractals/115b.jpg,Stimuli/Fractals/115a.jpg,Stimuli/Fractals/115c.jpg,212.1320344,212.1320344,,,,,,
127,ERP,1,1,2,Stimuli/Fractals/105c.jpg,Stimuli/Fractals/105a.jpg,Stimuli/Fractals/105b.jpg,-212.1320344,212.1320344,0,300,-300,0,0,-300
128,OLP,1,3,2,Stimuli/Fractals/27c.jpg,Stimuli/Fractals/27b.jpg,Stimuli/Fractals/27a.jpg,-212.1320344,212.1320344,-300,0,0,300,300,0
129,ERP,2,0,2,Stimuli/Fractals/105c.jpg,Stimuli/Fractals/105a.jpg,Stimuli/Fractals/105b.jpg,-212.1320344,212.1320344,0,300,-300,0,0,-300
130,LLP,1,2,2,Stimuli/Fractals/34b.jpg,Stimuli/Fractals/34c.jpg,Stimuli/Fractals/34a.jpg,212.1320344,-212.1320344,0,-300,300,0,-212.1320344,212.1320344
131,LLP,1,3,2,Stimuli/Fractals/7b.jpg,Stimuli/Fractals/7c.jpg,Stimuli/Fractals/7a.jpg,-212.1320344,212.1320344,0,300,-300,0,212.1320344,-212.1320344
132,OLP,2,0,2,Stimuli/Fractals/27c.jpg,Stimuli/Fractals/27b.jpg,Stimuli/Fractals/27a.jpg,-212.1320344,212.1320344,-300,0,0,300,300,0
133,LLP,2,0,2,Stimuli/Fractals/34b.jpg,Stimuli/Fractals/34c.jpg,Stimuli/Fractals/34a.jpg,212.1320344,-212.1320344,0,-300,300,0,-212.1320344,212.1320344
134,ERP,1,1,2,Stimuli/Fractals/92c.jpg,Stimuli/Fractals/92a.jpg,Stimuli/Fractals/92b.jpg,212.1320344,212.1320344,300,0,0,300,-300,0
135,LLP,2,0,2,Stimuli/Fractals/7b.jpg,Stimuli/Fractals/7c.jpg,Stimuli/Fractals/7a.jpg,-212.1320344,212.1320344,0,300,-300,0,212.1320344,-212.1320344
