,TrialIndex,BlockNr,TrialType,EncodingStimType,StimType,ImagePresented,Xcoordinate,Ycoordinate,EncodingTrialIndex,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,FILLING
78,79,5,OBJ,LLP,LURE,Stimuli/Fractals/46a.jpg,-300.0,0.0,139.0,Stimuli/Fractals/46c.jpg,-300.0,0.0,0
79,80,5,OBJ,FOIL,FOIL,Stimuli/Fractals/38c.jpg,-293.4442802,-62.37350725,0.0,nan,0.0,0.0,0
80,81,5,OBJ,ERP,LURE,Stimuli/Fractals/105b.jpg,-212.1320344,212.1320344,127.0,Stimuli/Fractals/105c.jpg,-212.1320344,212.1320344,0
81,82,5,OBJ,FOIL,FOIL,Stimuli/Fractals/141c.jpg,-290.2245658,-75.95855043,0.0,nan,0.0,0.0,0
82,83,5,OBJ,OLP,TARGET,Stimuli/Fractals/29c.jpg,212.1320344,-212.1320344,140.0,Stimuli/Fractals/29c.jpg,212.1320344,-212.1320344,0
83,84,5,OBJ,OLP,TARGET,Stimuli/Fractals/128a.jpg,-212.1320344,-212.1320344,149.0,Stimuli/Fractals/128a.jpg,-212.1320344,-212.1320344,0
84,85,5,OBJ,ERP,LURE,Stimuli/Fractals/92b.jpg,212.1320344,212.1320344,134.0,Stimuli/Fractals/92c.jpg,212.1320344,212.1320344,0
85,86,5,OBJ,FOIL,FOIL,Stimuli/Fractals/57b.jpg,118.8239298,275.4648321,0.0,nan,0.0,0.0,0
86,87,5,OBJ,ERP,LURE,Stimuli/Fractals/145b.jpg,212.1320344,212.1320344,137.0,Stimuli/Fractals/145c.jpg,212.1320344,212.1320344,0
87,88,5,OBJ,ERP,TARGET,Stimuli/Fractals/35a.jpg,-212.1320344,-212.1320344,150.0,Stimuli/Fractals/35a.jpg,-212.1320344,-212.1320344,0
88,89,5,OBJ,FOIL,FOIL,Stimuli/Fractals/144c.jpg,-271.150131,-128.3651295,0.0,nan,0.0,0.0,0
89,90,5,OBJ,OLP,TARGET,Stimuli/Fractals/90b.jpg,212.1320344,212.1320344,160.0,Stimuli/Fractals/90b.jpg,212.1320344,212.1320344,0
90,91,6,LOC,LLP,TARGET,Stimuli/Fractals/93a.jpg,0.0,300.0,141.0,Stimuli/Fractals/93a.jpg,0.0,300.0,0
91,92,6,LOC,ERP,FOIL,Stimuli/Fractals/43c.jpg,212.1320344,212.1320344,155.0,Stimuli/Fractals/43c.jpg,-212.1320344,-212.1320344,0
92,93,6,LOC,OLP,FOIL,Stimuli/Fractals/134b.jpg,-212.1320344,-212.1320344,163.0,Stimuli/Fractals/134b.jpg,212.1320344,212.1320344,0
93,94,6,LOC,OLP,TARGET,Stimuli/Fractals/91a.jpg,-212.1320344,212.1320344,183.0,Stimuli/Fractals/91a.jpg,-212.1320344,212.1320344,0
94,95,6,LOC,ERP,LURE,Stimuli/Fractals/25b.jpg,-212.1320344,-212.1320344,159.0,Stimuli/Fractals/25b.jpg,0.0,-300.0,0
95,96,6,LOC,LLP,LURE,Stimuli/Fractals/78c.jpg,212.1320344,212.1320344,148.0,Stimuli/Fractals/78c.jpg,300.0,0.0,0
96,97,6,LOC,ERP,TARGET,Stimuli/Fractals/71c.jpg,0.0,300.0,161.0,Stimuli/Fractals/71c.jpg,0.0,300.0,0
97,98,6,LOC,LLP,FOIL,Stimuli/Fractals/70c.jpg,-212.1320344,-212.1320344,154.0,Stimuli/Fractals/70c.jpg,212.1320344,212.1320344,0
98,99,6,LOC,ERP,FOIL,Stimuli/Fractals/113b.jpg,0.0,-300.0,174.0,Stimuli/Fractals/113b.jpg,-212.1320344,212.1320344,0
99,100,6,LOC,LLP,LURE,Stimuli/Fractals/63c.jpg,-212.1320344,-212.1320344,156.0,Stimuli/Fractals/63c.jpg,0.0,-300.0,0
100,101,6,LOC,LLP,LURE,Stimuli/Fractals/15b.jpg,212.1320344,-212.1320344,169.0,Stimuli/Fractals/15b.jpg,0.0,-300.0,0
101,102,6,LOC,OLP,TARGET,Stimuli/Fractals/2b.jpg,212.1320344,212.1320344,190.0,Stimuli/Fractals/2b.jpg,212.1320344,212.1320344,0
102,103,6,LOC,OLP,TARGET,Stimuli/Fractals/17b.jpg,-212.1320344,212.1320344,194.0,Stimuli/Fractals/17b.jpg,-212.1320344,212.1320344,0
103,104,6,LOC,ERP,LURE,Stimuli/Fractals/54c.jpg,300.0,0.0,191.0,Stimuli/Fractals/54c.jpg,212.1320344,-212.1320344,0
104,105,6,LOC,OLP,FOIL,Stimuli/Fractals/44b.jpg,-300.0,0.0,195.0,Stimuli/Fractals/44b.jpg,300.0,0.0,0
105,106,6,LOC,LLP,FOIL,Stimuli/Fractals/76b.jpg,300.0,0.0,170.0,Stimuli/Fractals/76b.jpg,-300.0,0.0,0
106,107,6,LOC,ERP,FOIL,Stimuli/Fractals/69c.jpg,-212.1320344,-212.1320344,201.0,Stimuli/Fractals/69c.jpg,212.1320344,212.1320344,0
107,108,6,LOC,LLP,FOIL,Stimuli/Fractals/65b.jpg,212.1320344,212.1320344,172.0,Stimuli/Fractals/65b.jpg,0.0,-300.0,0
108,109,7,OBJ,LLP,LURE,Stimuli/Fractals/8b.jpg,300.0,0.0,173.0,Stimuli/Fractals/8a.jpg,300.0,0.0,0
109,110,7,OBJ,LLP,TARGET,Stimuli/Fractals/81a.jpg,0.0,-300.0,178.0,Stimuli/Fractals/81a.jpg,0.0,-300.0,0
110,111,7,OBJ,OLP,TARGET,Stimuli/Fractals/83b.jpg,-212.1320344,-212.1320344,199.0,Stimuli/Fractals/83b.jpg,-212.1320344,-212.1320344,0
111,112,7,OBJ,FOIL,FOIL,Stimuli/Fractals/100a.jpg,-264.8842779,-140.8414688,0.0,nan,0.0,0.0,0
112,113,7,OBJ,FOIL,FOIL,Stimuli/Fractals/84b.jpg,-276.8287333,-115.6107798,0.0,nan,0.0,0.0,0
113,114,7,OBJ,LLP,TARGET,Stimuli/Fractals/9c.jpg,0.0,300.0,180.0,Stimuli/Fractals/9c.jpg,0.0,300.0,0
114,115,7,OBJ,LLP,TARGET,Stimuli/Fractals/12a.jpg,300.0,0.0,181.0,Stimuli/Fractals/12a.jpg,300.0,0.0,0
115,116,7,OBJ,OLP,TARGET,Stimuli/Fractals/67b.jpg,0.0,-300.0,204.0,Stimuli/Fractals/67b.jpg,0.0,-300.0,0
116,117,7,OBJ,OLP,LURE,Stimuli/Fractals/55a.jpg,300.0,0.0,212.0,Stimuli/Fractals/55c.jpg,300.0,0.0,0
117,118,7,OBJ,ERP,TARGET,Stimuli/Fractals/53c.jpg,-212.1320344,-212.1320344,203.0,Stimuli/Fractals/53c.jpg,-212.1320344,-212.1320344,0
118,119,7,OBJ,FOIL,FOIL,Stimuli/Fractals/98c.jpg,-258.0447444,-153.0127769,0.0,nan,0.0,0.0,0
119,120,7,OBJ,LLP,LURE,Stimuli/Fractals/79c.jpg,300.0,0.0,185.0,Stimuli/Fractals/79a.jpg,300.0,0.0,0
120,121,7,OBJ,FOIL,FOIL,Stimuli/Fractals/50a.jpg,-250.6463434,-164.8526934,0.0,nan,0.0,0.0,0
121,122,7,OBJ,FOIL,FOIL,Stimuli/Fractals/74a.jpg,-242.7050983,-176.3355757,0.0,nan,0.0,0.0,0
122,123,7,OBJ,FOIL,FOIL,Stimuli/Fractals/3a.jpg,-234.238208,-187.4365544,0.0,nan,0.0,0.0,0
123,124,7,OBJ,LLP,LURE,Stimuli/Fractals/45c.jpg,-212.1320344,212.1320344,192.0,Stimuli/Fractals/45b.jpg,-212.1320344,212.1320344,0
124,125,7,OBJ,ERP,LURE,Stimuli/Fractals/123a.jpg,-300.0,0.0,211.0,Stimuli/Fractals/123b.jpg,-300.0,0.0,0
125,126,7,OBJ,LLP,LURE,Stimuli/Fractals/47c.jpg,212.1320344,-212.1320344,206.0,Stimuli/Fractals/47a.jpg,212.1320344,-212.1320344,0
126,127,8,LOC,ERP,FOIL,Stimuli/Fractals/89c.jpg,-212.1320344,-212.1320344,216.0,Stimuli/Fractals/89c.jpg,300.0,0.0,0
127,128,8,LOC,LLP,TARGET,Stimuli/Fractals/37b.jpg,0.0,-300.0,235.0,Stimuli/Fractals/37b.jpg,0.0,-300.0,0
128,129,8,LOC,ERP,TARGET,Stimuli/Fractals/117b.jpg,212.1320344,-212.1320344,218.0,Stimuli/Fractals/117b.jpg,212.1320344,-212.1320344,0
129,130,8,LOC,ERP,TARGET,Stimuli/Fractals/95a.jpg,0.0,300.0,223.0,Stimuli/Fractals/95a.jpg,0.0,300.0,0
130,131,8,LOC,ERP,LURE,Stimuli/Fractals/133b.jpg,-212.1320344,-212.1320344,232.0,Stimuli/Fractals/133b.jpg,-300.0,0.0,0
131,132,8,LOC,OLP,FOIL,Stimuli/Fractals/61a.jpg,212.1320344,-212.1320344,213.0,Stimuli/Fractals/61a.jpg,-212.1320344,212.1320344,0
132,133,8,LOC,ERP,TARGET,Stimuli/Fractals/33b.jpg,0.0,300.0,234.0,Stimuli/Fractals/33b.jpg,0.0,300.0,0
133,134,8,LOC,ERP,FOIL,Stimuli/Fractals/59b.jpg,-212.1320344,-212.1320344,236.0,Stimuli/Fractals/59b.jpg,212.1320344,212.1320344,0
134,135,8,LOC,OLP,TARGET,Stimuli/Fractals/48a.jpg,-300.0,0.0,219.0,Stimuli/Fractals/48a.jpg,-300.0,0.0,0
135,136,8,LOC,ERP,TARGET,Stimuli/Fractals/106b.jpg,300.0,0.0,243.0,Stimuli/Fractals/106b.jpg,300.0,0.0,0
136,137,8,LOC,LLP,FOIL,Stimuli/Fractals/131b.jpg,212.1320344,212.1320344,242.0,Stimuli/Fractals/131b.jpg,-212.1320344,-212.1320344,0
137,138,8,LOC,ERP,LURE,Stimuli/Fractals/10a.jpg,-212.1320344,-212.1320344,247.0,Stimuli/Fractals/10a.jpg,-300.0,0.0,0
138,139,8,LOC,LLP,LURE,Stimuli/Fractals/103a.jpg,-212.1320344,212.1320344,244.0,Stimuli/Fractals/103a.jpg,-300.0,0.0,0
139,140,8,LOC,LLP,TARGET,Stimuli/Fractals/99c.jpg,-212.1320344,212.1320344,249.0,Stimuli/Fractals/99c.jpg,-212.1320344,212.1320344,0
140,141,8,LOC,OLP,LURE,Stimuli/Fractals/4c.jpg,-212.1320344,212.1320344,222.0,Stimuli/Fractals/4c.jpg,0.0,300.0,0
141,142,8,LOC,OLP,TARGET,Stimuli/Fractals/68c.jpg,-212.1320344,-212.1320344,225.0,Stimuli/Fractals/68c.jpg,-212.1320344,-212.1320344,0
142,143,8,LOC,OLP,LURE,Stimuli/Fractals/137c.jpg,-212.1320344,-212.1320344,226.0,Stimuli/Fractals/137c.jpg,0.0,-300.0,0
143,144,8,LOC,OLP,LURE,Stimuli/Fractals/143b.jpg,212.1320344,-212.1320344,233.0,Stimuli/Fractals/143b.jpg,300.0,0.0,0
