TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
75,500,,5,OBJ,TARGET,stimuli/fractals/100c.jpg,-375.0,-75.0,116.0,ERP,stimuli/fractals/100c.jpg,-375.0,-75.0,stimuli/fractals/100c.jpg,stimuli/fractals/100b.jpg,stimuli/fractals/100a.jpg,-375.0,-75.0,-225.0,-75.0,-375.0,75.0,375.0,-225.0
76,1000,,5,OBJ,TARGET,stimuli/fractals/104a.jpg,225.0,225.0,123.0,ERP,stimuli/fractals/104a.jpg,225.0,225.0,stimuli/fractals/104a.jpg,stimuli/fractals/104b.jpg,stimuli/fractals/104c.jpg,225.0,225.0,75.0,225.0,225.0,75.0,-375.0,-225.0
77,4000,,5,OBJ,FOIL,stimuli/fractals/10c.jpg,225.0,-75.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
78,1000,,5,OBJ,FOIL,stimuli/fractals/143b.jpg,-375.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
79,2000,,5,OBJ,LURE,stimuli/fractals/61b.jpg,-225.0,-75.0,139.0,LLP,stimuli/fractals/61c.jpg,-225.0,-75.0,stimuli/fractals/61c.jpg,stimuli/fractals/61a.jpg,stimuli/fractals/61b.jpg,-225.0,-75.0,-75.0,-75.0,-225.0,-225.0,375.0,75.0
80,1000,,5,OBJ,FOIL,stimuli/fractals/71c.jpg,-375.0,225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
81,3000,,5,OBJ,LURE,stimuli/fractals/27b.jpg,-225.0,225.0,127.0,ERP,stimuli/fractals/27a.jpg,-225.0,225.0,stimuli/fractals/27a.jpg,stimuli/fractals/27c.jpg,stimuli/fractals/27b.jpg,-225.0,225.0,-75.0,225.0,-375.0,225.0,225.0,-75.0
82,5000,,5,OBJ,FOIL,stimuli/fractals/129c.jpg,-225.0,75.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
83,3000,,5,OBJ,TARGET,stimuli/fractals/68c.jpg,-375.0,225.0,140.0,OLP,stimuli/fractals/68c.jpg,-375.0,225.0,stimuli/fractals/68c.jpg,stimuli/fractals/68b.jpg,stimuli/fractals/68a.jpg,-375.0,225.0,-375.0,75.0,-225.0,225.0,-75.0,-225.0
84,4000,,5,OBJ,TARGET,stimuli/fractals/123c.jpg,-375.0,-225.0,149.0,OLP,stimuli/fractals/123c.jpg,-375.0,-225.0,stimuli/fractals/123c.jpg,stimuli/fractals/123b.jpg,stimuli/fractals/123a.jpg,-375.0,-225.0,-375.0,-75.0,-225.0,-225.0,375.0,225.0
85,2000,,5,OBJ,LURE,stimuli/fractals/31b.jpg,375.0,-75.0,134.0,ERP,stimuli/fractals/31a.jpg,375.0,-75.0,stimuli/fractals/31a.jpg,stimuli/fractals/31c.jpg,stimuli/fractals/31b.jpg,375.0,-75.0,375.0,-225.0,375.0,75.0,-375.0,-225.0
86,4000,,5,OBJ,FOIL,stimuli/fractals/138a.jpg,-225.0,75.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
87,2000,,5,OBJ,LURE,stimuli/fractals/133a.jpg,75.0,225.0,137.0,ERP,stimuli/fractals/133b.jpg,75.0,225.0,stimuli/fractals/133b.jpg,stimuli/fractals/133c.jpg,stimuli/fractals/133a.jpg,75.0,225.0,225.0,225.0,-75.0,225.0,-375.0,-225.0
88,1000,,5,OBJ,TARGET,stimuli/fractals/34c.jpg,225.0,-75.0,150.0,ERP,stimuli/fractals/34c.jpg,225.0,-75.0,stimuli/fractals/34c.jpg,stimuli/fractals/34b.jpg,stimuli/fractals/34a.jpg,225.0,-75.0,225.0,75.0,75.0,-75.0,-375.0,-225.0
89,8000,,5,OBJ,FOIL,stimuli/fractals/11b.jpg,225.0,-75.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
90,3000,,5,OBJ,TARGET,stimuli/fractals/9a.jpg,225.0,-75.0,160.0,OLP,stimuli/fractals/9a.jpg,225.0,-75.0,stimuli/fractals/9a.jpg,stimuli/fractals/9c.jpg,stimuli/fractals/9b.jpg,225.0,-75.0,225.0,-225.0,375.0,-75.0,-375.0,225.0
91,3000,,6,LOC,TARGET,stimuli/fractals/109b.jpg,225.0,225.0,141.0,LLP,stimuli/fractals/109b.jpg,225.0,225.0,stimuli/fractals/109b.jpg,stimuli/fractals/109c.jpg,stimuli/fractals/109a.jpg,225.0,225.0,375.0,225.0,225.0,75.0,-225.0,-75.0
